"Authors","Author full names","Author(s) ID","Title","Year","Volume","Issue","Art. No.","Page start","Page end","Page count","DOI","Link","Abstract","Author Keywords","Index Keywords","Funding Details","Editors","Publisher","PubMed ID"
"Thenmoezhi N.; Perumal B.; Lakshmi A.","Thenmoezhi, N. (56884735800); Perumal, B. (56352303700); Lakshmi, A. (55314493600)","56884735800; 56352303700; 55314493600","Multi-view Image Fusion Using Ensemble Deep Learning Algorithm For MRI And CT Images","2024","23","3","40","","","","10.1145/3640811","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188347633&doi=10.1145%2f3640811&partnerID=40&md5=895bd700c0f37b9de8f8c15ae13ccf62","Medical image fusions are crucial elements in image-based health care diagnostics or therapies and generic applications of computer visions. However, the majority of existing methods suffer from noise distortion that affects the overall output. When pictures are distorted by noises, classical fusion techniques perform badly. Hence, fusion techniques that properly maintain information comprehensively from multiple faulty pictures need to be created. This work presents Enhanced Lion Swarm Optimization (ESLO) with Ensemble Deep Learning (EDL) to address the aforementioned issues. The primary steps in this study include image fusions, segmentation, noise reduction, feature extraction, picture classification, and feature selection. Adaptive Median Filters are first used for noise removal in sequence to enhance image quality by eliminating noises. The MRIs and CT images are then segmented using the Region Growing–based k-Means Clustering (RKMC) algorithm to separate the images into their component regions or objects. Images in black and white are divided into image. In the white image, the RKMC algorithm successfully considered the earlier tumour probability. The next step is feature extraction, which is accomplished by using the Modified Principal Component Analysis (MPCA) to draw out the most informative aspects of the images. Then the ELSO algorithm is applied for optimal feature selection, which is computed by best fitness values. After that, multi-view image fusions of multi modal images derive lower-, middle-, and higher-level image contents. It is done by using Deep Convolution Neural Network (DCNN) and the Tissue-Aware Conditional Generative Adversarial Network (TAcGAN) algorithm, which fuses the multi-view features and relevant image features, and it is used for real-time applications. ELSO +EDL algorithm gives better results in terms of accuracy, Peak Signal-To-Noise Ratio (PSNR), and lower Root Mean Square Error (RMSE) and Mean Absolute Percentage Error (MAPE) when compared to other existing algorithms. © 2024 Copyright held by the owner/author(s).","Computed Tomography (CT) images; Enhanced Lion Swarm Optimization (ELSO); Ensemble Deep Learning (EDL) algorithm; Magnetic Resonance Imaging (MRI) images; Multi-view image fusions","Adaptive filtering; Adaptive filters; Biomedical signal processing; Computerized tomography; Deep learning; Diagnosis; Extraction; Feature extraction; Generative adversarial networks; Image enhancement; Image fusion; Image segmentation; K-means clustering; Learning algorithms; Learning systems; Mean square error; Median filters; Medical imaging; Particle swarm optimization (PSO); Principal component analysis; Signal to noise ratio; Computed tomography images; Enhanced lion swarm optimization; Ensemble deep learning  algorithm; Features extraction; Fusion techniques; Magnetic resonance imaging  image; Multi-view image; Multi-view image fusion; Region growing; Swarm optimization; Magnetic resonance imaging","","","Association for Computing Machinery",""
"Jin Z.; Hu C.; Fu Z.; Zhang C.; Wang P.; Zhang H.; Ye X.","Jin, Ziyi (57190222716); Hu, Chunyong (57222400781); Fu, Zuoming (57222137024); Zhang, Chongan (57222402772); Wang, Peng (57221311502); Zhang, Hong (57811324100); Ye, Xuesong (7401899160)","57190222716; 57222400781; 57222137024; 57222402772; 57221311502; 57811324100; 7401899160","Stereo matching of binocular laparoscopic images with improved densely connected neural architecture search","2024","19","4","","677","686","9","10.1007/s11548-023-03035-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183661672&doi=10.1007%2fs11548-023-03035-5&partnerID=40&md5=aa5d643b3912c39b82fb02b064304594","Purpose: Stereo matching is a crucial technology in the binocular laparoscopic-based surgical navigation systems. In recent years, neural networks have been widely applied to stereo matching and demonstrated outstanding performance. however, this method heavily relies on manual feature engineering meaning that professionals must be involved in the feature extraction and matching. This process is both time-consuming and demands specific expertise. Methods: This paper introduces a novel stereo matching framework DCStereo that realizes a fully automatic neural architecture design for the stereo matching of binocular laparoscopic images. The proposed framework utilizes a densely connected search space which enables a more flexible and diverse architecture composition. Furthermore, the proposed algorithm leverages the channel and path sampling strategies to reduce memory consumption during searching. Results: Empirically, our searched DCStereo on the SCARED training dataset achieves a mean absolute error of 3.589 mm on the test dataset, which outperforms hand-crafted stereo matching methods and other approaches. Furthermore, when directly testing on the SERV-CT dataset, our DCStereo demonstrates better generalization ability than other methods. Conclusion: Our proposed approach leverages the neural architecture search technique and a densely connected search space for automatic neural architecture design in stereo matching of binocular laparoscopic images. Our method delivers advanced performance on the SCARED dataset and promising results on the SERV-CT dataset. These findings demonstrate the potential of our approach for improving clinical surgical navigation systems. © CARS 2024.","Binocular laparoscopic images; Neural architecture search; Stereo matching; Surgical navigation","Algorithms; Humans; Laparoscopy; Neural Networks, Computer; architecture; Article; biomedical engineering; cell level; deep learning; feature extraction; image segmentation; laparoscopy; mean absolute error; noise; prediction; probability; algorithm; artificial neural network; human","National Major Scientific Research Instrument Development Project, (81827804); Key Research and Development Program of Zhejiang Province, (2022C03086); Key Research and Development Program of Zhejiang Province","","Springer Science and Business Media Deutschland GmbH","38289466"
"Han Y.; Han P.; Yuan B.; Zhang Z.; Liu L.; Panneerselvam J.","Han, Yibo (57204550942); Han, Pu (57204548570); Yuan, Bo (56530110900); Zhang, Zheng (57215841890); Liu, Lu (57194679110); Panneerselvam, John (55509769900)","57204550942; 57204548570; 56530110900; 57215841890; 57194679110; 55509769900","Novel Transformation Deep Learning Model for Electrocardiogram Classification and Arrhythmia Detection using Edge Computing","2024","22","1","7","","","","10.1007/s10723-023-09717-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181172074&doi=10.1007%2fs10723-023-09717-3&partnerID=40&md5=570c31005ec81a3b1e25172e128139c2","The diagnosis of the cardiovascular disease relies heavily on the automated classification of electrocardiograms (ECG) for arrhythmia monitoring, which is often performed using machine learning (ML) algorithms. However, current ML algorithms are typically deployed using cloud-based inferences, which may not meet the reliability and security requirements for ECG monitoring. A newer solution, edge inference, has been developed to address speed, security, connection, and reliability issues. This paper presents an edge-based algorithm that combines continuous wavelet transform (CWT), and short-time Fourier transform (STFT), in a hybrid convolutional neural network (CNN) and Long Short-Term Memory (LSTM) model techniques for real-time ECG classification and arrhythmia detection. The algorithm incorporates an STFT CWT-based 1D convolutional (Conv1D) layer as a Finite Impulse Response (FIR) filter to generate the spectrogram of the input ECG signal. The output feature maps from the Conv1D layer are then reshaped into a 2D heart map image and fed into a hybrid convolutional neural network (2D-CNN) and Long Short-Term Memory (LSTM) classification model. The MIT-BIH arrhythmia database is used to train and evaluate the model. Using a cloud platform, four model versions are learned, considered, and optimized for edge computing on a Raspberry Pi device. Techniques such as weight quantization and pruning enhance the algorithms created for edge inference. The proposed classifiers can operate with a total target size of 90 KB, an overall inference time of 9 ms, and higher memory use of 12 MB while achieving up to 99.6% classification accuracy and a 99.88% F1-score at the edge. Thanks to its results, the suggested classifier is highly versatile and can be used for arrhythmia monitoring on various edge devices. © 2023, The Author(s), under exclusive licence to Springer Nature B.V.","Convolutional neural network; Edge inference; Electrocardiogram; Finite impulse response; Interpretable neural network; Machine learning; Short-time Fourier transform","Biomedical signal processing; Brain; Convolution; Convolutional neural networks; Diseases; FIR filters; Impulse response; Inference engines; Learning systems; Long short-term memory; Multilayer neural networks; Wavelet transforms; Arrhythmia detection; Convolutional neural network; Edge computing; Edge inference; Finite-impulse response; Interpretable neural network; Machine learning algorithms; Machine-learning; Neural-networks; Short time Fourier transforms; Electrocardiograms","","","Springer Science and Business Media B.V.",""
"Chen L.; Fei Y.; Quan B.; Hao Y.; Chen Q.; Liu G.; Luo X.; Li L.; Wei H.","Chen, Li (58961874000); Fei, Yue (57221832560); Quan, Bin (57222389740); Hao, Yuexing (57217089265); Chen, Qinqun (55533101300); Liu, Guiqing (57222386348); Luo, Xiaomu (35810565500); Li, Li (57216957107); Wei, Hang (55532708800)","58961874000; 57221832560; 57222389740; 57217089265; 55533101300; 57222386348; 35810565500; 57216957107; 55532708800","DANNMCTG: Domain-Adversarial Training of Neural Network for multicenter antenatal cardiotocography signal classification","2024","94","","106259","","","","10.1016/j.bspc.2024.106259","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189023178&doi=10.1016%2fj.bspc.2024.106259&partnerID=40&md5=593e586838b984818aa4e9992875bd79","Intelligent classification of cardiotocography (CTG) based on machine learning (ML), a useful tool to improve the accuracy of fetal abnormality detection, can assist obstetricians with clinical decisions. With the advancement of information technologies and medical devices, there are development opportunities for multicenter clinical research and obtaining more digital CTG signals. However, most of the existing clinical multicenter CTG datasets are partially annotated and have discrepancies which do not satisfy the ML condition of independent identical distribution. Therefore, this paper focuses on an unsupervised domain adaptation (UDA) algorithm to realize cross-domain intelligent classification of multimodal CTG signals. We propose a method dubbed domain adversarial training of neural network for multicenter CTG (DANNMCTG), which mainly consists of a label classifier, a feature extractor and a domain discriminator. To match different distribution of fetal heart rate (FHR), uterine contraction (UC) and fetal movement (FetMov) signals, we condition the domain alignment on label predictions by defining the multi-linear map. For analysis, two datasets from the hospital central station and home monitoring devices were considered as the source and target domains. The results showed that the accuracy value, F1 value and area under the curve (AUC) value of the DANNMCTG were 71.25%, 76.08% and 0.7705, respectively. This method significantly improved the performance of the deep learning models without exploiting any information in the target domain, and outperformed the state-of-the-art UDA algorithms for CTG classification. In summary, the DANNMCTG can effectively mitigate the influence of domain shift for multicenter intelligent prenatal fetal monitoring. © 2024 Elsevier Ltd","Cardiotocography; Domain-adversarial training of neural network; Intelligent prenatal fetal monitoring; Multicenter study; Unsupervised domain adaptation","Biomedical signal processing; Classification (of information); Deep learning; Digital devices; Fetal monitoring; Learning systems; Neural networks; Cardiotocography; Condition; Domain adaptation; Domain-adversarial training of neural network; Intelligent classification; Intelligent prenatal fetal monitoring; Machine-learning; Multi-centre study; Neural-networks; Unsupervised domain adaptation; adult; Article; bidirectional gated recurrent unit network; bidirectional long short term memory network; bidirectional recurrent neural network; binary classification; cardiotocography; cesarean section; classification algorithm; classifier; comparative study; confusion matrix; convolutional neural network; data accuracy; data processing; deep learning; deep neural network; domain adversarial training of neural network for multicenter antenatal cardiotocography; false negative result; false positive result; feature extraction; female; fetus; fetus echography; fetus heart rate; fetus monitoring; fetus movement; gated recurrent unit network; home monitoring; human; image enhancement; image segmentation; long short term memory network; machine learning; major clinical study; multicenter study; obstetrician; receiver operating characteristic; recurrent neural network; sensitivity and specificity; signal processing; unsupervised domain adaptation algorithm; uterus contraction; Clinical research","Guangdong Medical Research Foundation, (A2019428); Guangdong Medical Research Foundation; National Natural Science Foundation of China, NSFC, (61976052, 71804031); National Natural Science Foundation of China, NSFC","","Elsevier Ltd",""
"Jang S.-I.; Pan T.; Li Y.; Heidari P.; Chen J.; Li Q.; Gong K.","Jang, Se-In (57317669100); Pan, Tinsu (8664173900); Li, Ye (57191870446); Heidari, Pedram (23979745500); Chen, Junyu (57197845594); Li, Quanzheng (7405862484); Gong, Kuang (57146819700)","57317669100; 8664173900; 57191870446; 23979745500; 57197845594; 7405862484; 57146819700","Spach Transformer: Spatial and Channel-Wise Transformer Based on Local and Global Self-Attentions for PET Image Denoising","2024","43","6","","2036","2049","13","10.1109/TMI.2023.3336237","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178025707&doi=10.1109%2fTMI.2023.3336237&partnerID=40&md5=3f8f73e62eaf3f109a82a388201983ab","Position emission tomography (PET) is widely used in clinics and research due to its quantitative merits and high sensitivity, but suffers from low signal-to-noise ratio (SNR). Recently convolutional neural networks (CNNs) have been widely used to improve PET image quality. Though successful and efficient in local feature extraction, CNN cannot capture long-range dependencies well due to its limited receptive field. Global multi-head self-attention (MSA) is a popular approach to capture long-range information. However, the calculation of global MSA for 3D images has high computational costs. In this work, we proposed an efficient spatial and channel-wise encoder-decoder transformer, Spach Transformer, that can leverage spatial and channel information based on local and global MSAs. Experiments based on datasets of different PET tracers, i.e., 18F-FDG, 18F-ACBC, 18F-DCFPyL, and 68Ga-DOTATATE, were conducted to evaluate the proposed framework. Quantitative results show that the proposed Spach Transformer framework outperforms state-of-the-art deep learning architectures.  © 1982-2012 IEEE.","image denoising; local and global self-attention; low-dose PET; Positron emission tomography; spatial and channel-wise transformer","Algorithms; Humans; Image Processing, Computer-Assisted; Imaging, Three-Dimensional; Neural Networks, Computer; Positron-Emission Tomography; Signal-To-Noise Ratio; Channel coding; Decoding; Deep learning; Image denoising; Image enhancement; Image reconstruction; Medical imaging; Neural networks; Positron emission tomography; Positrons; Signal to noise ratio; fluciclovine f 18; fluorodeoxyglucose f 18; gallium dotatate ga 68; piflufolastat f 18; tracer; Biomedical imaging; Convolutional neural network; Decoding; High sensitivity; Local and global self-attention; Low dose; Low-dose position emission tomography; Position emission tomography; Spatial and channel-wise transformer; Transformer; Article; artificial neural network; contrast to noise ratio; convolutional neural network; deep learning; feature extraction; gated-convolutional feed-forward network; human; image enhancement; image noise; image quality; image reconstruction; intermethod comparison; kernel method; multilayer perceptron; noise reduction; ordered subset expectation maximization; positron emission tomography; quantitative analysis; receptive field; restormer; signal noise ratio; spatial and channel-wise transformer; standardized uptake value; swin transformer; Unet; whole body PET; algorithm; artificial neural network; image processing; procedures; signal noise ratio; three-dimensional imaging; Convolution","","","Institute of Electrical and Electronics Engineers Inc.","37995174"
"Zein H.; Chantaf S.; Fournier R.; Nait-Ali A.","Zein, Hazem (57468294800); Chantaf, Samer (57200914565); Fournier, Régis (8273261200); Nait-Ali, Amine (57698810500)","57468294800; 57200914565; 8273261200; 57698810500","Generative adversarial networks for anonymous acneic face dataset generation","2024","19","4 April","e0297958","","","","10.1371/journal.pone.0297958","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190751109&doi=10.1371%2fjournal.pone.0297958&partnerID=40&md5=bc74eb40dfa97bdac3312226c840dc71","It is well known that the performance of any classification model is effective if the dataset used for the training process and the test process satisfy some specific requirements. In other words, the more the dataset size is large, balanced, and representative, the more one can trust the proposed model’s effectiveness and, consequently, the obtained results. Unfortunately, large-size anonymous datasets are generally not publicly available in biomedical applications, especially those dealing with pathological human face images. This concern makes using deep-learning-based approaches challenging to deploy and difficult to reproduce or verify some published results. In this paper, we propose an efficient method to generate a realistic anonymous synthetic dataset of human faces, focusing on attributes related to acne disorders at three distinct levels of severity (Mild, Moderate, and Severe). Notably, our approach initiates from a small dataset of facial acne images, leveraging generative techniques to augment and diversify the dataset, ensuring comprehensive coverage of acne severity levels while maintaining anonymity and realism in the synthetic data. Therefore, a specific hierarchy StyleGAN-based algorithm trained at distinct levels is considered. Moreover, the utilization of generative adversarial networks for augmentation offers a means to circumvent potential privacy or legal concerns associated with acquiring medical datasets. This is attributed to the synthetic nature of the generated data, where no actual subjects are present, thereby ensuring compliance with privacy regulations and legal considerations. To evaluate the performance of the proposed scheme, we consider a CNN-based classification system, trained using the generated synthetic acneic face images and tested using authentic face images. Consequently, we show that an accuracy of 97.6% is achieved using InceptionResNetv2. As a result, this work allows the scientific community to employ the generated synthetic dataset for any data processing application without restrictions on legal or ethical concerns. Moreover, this approach can also be extended to other applications requiring the generation of synthetic medical images. © 2024 Zein et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","","Acne Vulgaris; Algorithms; Humans; Privacy; Trust; accuracy; acne; algorithm; anonymous acneic face dataset; Article; artificial neural network; convolutional neural network; data base; data gathering; data pre processing; data processing; deep learning; generative adversarial network; human; image analysis; image enhancement; learning algorithm; limit of detection; machine learning; natural language processing; nerve cell network; privacy; recall; residual neural network; training; acne vulgaris; trust","","","Public Library of Science","38625866"
"Poonia R.C.; Upreti K.; Jafri S.; Parashar J.; Vats P.; Singh J.","Poonia, Ramesh Chandra (56638603100); Upreti, Kamal (57202706345); Jafri, Samreen (57852595500); Parashar, Jyoti (57204113069); Vats, Prashant (56630562900); Singh, Jagendra (56347348900)","56638603100; 57202706345; 57852595500; 57204113069; 56630562900; 56347348900","Biomedical Mammography Image Classification Using Patches-Based Feature Engineering with Deep Learning and Ensemble Classifier","2024","1046 LNNS","","","275","285","10","10.1007/978-3-031-64813-7_29","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200652501&doi=10.1007%2f978-3-031-64813-7_29&partnerID=40&md5=0ca86de482edf8996bc11e8bb67acd80","In order to reduce the expense of radiologists, deep learning algorithms have recently been used in the mammograms screening field. Deep learning-based methods, like a Convolutional Neural Network (CNN), are now being used to categorize breast lumps. When it involves classifying mammogram imagery, CNN-based systems clearly outperform machine learning-based systems, but they do have certain disadvantages as well. Additional challenges include a dearth of knowledge on feature engineering and the impossibility of feature analysis for the existing patches of pictures, which are challenging to distinguish in low-contrast mammograms. Inaccurate patch assessments, higher calculation costs, inaccurate patch examinations, and non-recovered patched intensity variation are all results of mammogram image patches. This led to evidence that a CNN-based technique for identifying breast masses had poor classification accuracy. Deep Learning-Based Featured Reconstruction is a novel breast mass classification technique that boosts precision on low-contrast pictures (DFN). This system uses random forest boosting techniques together with CNN architectures like VGG 16 and Resnet 50 to characterize breast masses. Using two publicly accessible datasets of mammographic images, the suggested DFN approach is also contrasted with modern classification methods. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","Biomedical images; Breast mass classification technique; CNN; Deep learning; Mammography","Classification (of information); Computer aided diagnosis; Convolutional neural networks; Deep learning; Image classification; Learning algorithms; Learning systems; X ray screens; Biomedical images; Breast mass; Breast mass classification technique; Classification technique; Convolutional neural network; Deep learning; Feature engineerings; Low contrast; Mammography images; Mass classifications; Mammography","","Abraham A.; Bajaj A.; Hanne T.; Siarry P.","Springer Science and Business Media Deutschland GmbH",""
"Zhang D.; Li H.; Xie J.","Zhang, Dongxue (58024064600); Li, Huiying (36552872000); Xie, Jingmeng (58024857600)","58024064600; 36552872000; 58024857600","Unsupervised and semi-supervised domain adaptation networks considering both global knowledge and prototype-based local class information for Motor Imagery Classification","2024","179","","106497","","","","10.1016/j.neunet.2024.106497","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197755907&doi=10.1016%2fj.neunet.2024.106497&partnerID=40&md5=b68d95a93bb7728e76e6dd2d10c866bb","The non-stationarity of EEG signals results in variability across sessions, impeding model building and data sharing. In this paper, we propose a domain adaptation method called GPL, which simultaneously considers global knowledge and prototype-based local class information to enhance the classification accuracy of motor imagery signals. Depending on the amount of labeled data available in the target domain, the method is implemented in both unsupervised and semi-supervised versions. Specifically, at the global level, we employ the maximum mean difference (MMD) loss to globally constrain the feature space, achieving comprehensive alignment. In the context of class-level operations, we propose two memory banks designed to accommodate class prototypes in each domain and constrain feature embeddings by applying two prototype-based contrastive losses. The source contrastive loss is used to organize source features spatially based on categories, thereby reconciling inter-class and intra-class relationships, while the interactive contrastive loss is employed to facilitate cross-domain information interaction. Simultaneously, in unsupervised scenarios, to mitigate the adverse effects of excessive pseudo-labels, we introduce an entropy-aware strategy that dynamically evaluates the confidence level of target data and personalized constraints on the participation of interactive contrastive loss. To validate our approach, extensive experiments were conducted on a highly regarded public EEG dataset, namely Dataset IIa of the BCI Competition IV, as well as a large-scale EEG dataset called GigaDB. The experiments yielded average classification accuracies of 86.03% and 84.22% respectively. These results demonstrate that our method is an effective EEG decoding model, conducive to advancing the development of motor imagery brain–computer interfaces. The architecture proposed in this study and the code for data partitioning can be found at https://github.com/zhangdx21/GPL. © 2024 Elsevier Ltd","Brain–computer Interface (BCI); Deep Learning (DL); Domain adaptation (DA); Electroencephalography (EEG); Motor Imagery (MI)","Biomedical signal processing; Brain computer interface; Classification (of information); Deep learning; Electrophysiology; Image enhancement; Large datasets; Brain–computer interface; Deep learning; Domain adaptation; Electroencephalography; Global knowledge; Global prototype; Motor imagery; Semi-supervised; adaptation; algorithm; Article; artificial neural network; classification algorithm; discriminant analysis; entropy; human; imagery; information processing; knowledge; learning algorithm; machine learning; measurement accuracy; motor imagery classification; nerve cell network; prototype based local class information; semi supervised domain adaptation networks; signal noise ratio; support vector machine; time series analysis; visual field; Electroencephalography","Program for Jilin University Science and Technology Innovative Research Team; Jilin Provincial Scientific and Technological Development Program, (20230201089GX); Jilin Provincial Scientific and Technological Development Program","","Elsevier Ltd",""
"Zhao Y.; Zheng Q.; Zhu P.; Zhang X.; Ma W.","Zhao, Yangyang (56510359500); Zheng, Qingchun (36471511400); Zhu, Peihao (54394695800); Zhang, Xu (57203326688); Ma, Wenpeng (53867032100)","56510359500; 36471511400; 54394695800; 57203326688; 53867032100","TUFusion: A Transformer-Based Universal Fusion Algorithm for Multimodal Images","2024","34","3","","1712","1725","13","10.1109/TCSVT.2023.3296745","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165239585&doi=10.1109%2fTCSVT.2023.3296745&partnerID=40&md5=a9d0faf67decad818aa5eb5b6c8508a5","Multimodal image fusion is one of the important research directions in the field of multimodal fusion. This technique can realize image and data enhancement by using complementary multimodal images and be widely used in medicine, industry, security and fire protection, automatic driving and consumer electronics. In this work, we propose a transformer-based universal fusion (TUFusion) algorithm, and it has a multidomain fusion capability. The advantage of TUFusion algorithm is the design of hybrid transformer and convolutional neural network (CNN) encoder structure and a new composite attention fusion strategy, which has the ability of global and local information integration. Compared with the classical state-of-The-Art multimodal image fusion methods, the experimental result on multidomain data sets showed that the TUFusion algorithm has certain universality in image fusion. Meanwhile, the TUFusion algorithm we proposed achieves good values on peak signal to noise ratio (PSNR), root mean square error (RMSE) and structural similarity index measure (SSIM). The code of the TUFusion algorithm in this article is available at https://github.com/windrunners/TUFusion.  © 1991-2012 IEEE.","fusion strategy; hybrid structure; image fusion; Multimodal fusion; transformer","Deep learning; Feature extraction; Image enhancement; Image fusion; Infrared imaging; Mean square error; Neural networks; Signal to noise ratio; Transformer protection; Biomedical imaging; Deep learning; Features extraction; Fusion algorithms; Fusion strategies; Heuristics algorithm; Hybrid structure; Multi-modal fusion; Transformer; Heuristic algorithms","","","Institute of Electrical and Electronics Engineers Inc.",""
"Meyer T.; Shultz C.; Dehak N.; Moro-Velazquez L.; Irazoqui P.","Meyer, Trevor (58414987300); Shultz, Camden (58718637400); Dehak, Najim (16202714800); Moro-Velazquez, Laureano (56938696400); Irazoqui, Pedro (12772995300)","58414987300; 58718637400; 16202714800; 56938696400; 12772995300","Time Scale Network: An Efficient Shallow Neural Network For Time Series Data in Biomedical Applications","2024","","","","1","11","10","10.1109/JSTSP.2024.3443659","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201617650&doi=10.1109%2fJSTSP.2024.3443659&partnerID=40&md5=a9d614482b247b9161195c350fa7ddc9","Time series data is often composed of information at multiple time scales, particularly in biomedical data. While numerous deep learning strategies exist to capture this information, many make networks larger, require more data, are more demanding to compute, and are difficult to interpret. This limits their usefulness in real-world settings facing even modest computational or data constraints and can further complicate their translation into real-time processing or edge device applicaitons. We present a minimal, computationally efficient Time Scale Network combining the translation and dilation sequence used in discrete wavelet transforms with traditional convolutional neural networks and back-propagation. The network simultaneously learns features at many time scales for sequence classification with significantly reduced parameters and operations. We demonstrate advantages in Atrial Dysfunction detection including: superior accuracy-per-parameter and accuracy-per-operation, fast training and inference speeds, and visualization and interpretation of learned patterns in atrial dysfunction detection on ECG signals. We also demonstrate impressive performance in seizure prediction using EEG signals, where our network isolated a few time scales that could be strategically selected to achieve 90.9&#x0025; accuracy using only 1,133 active parameters and consistently converged on pulsatile waveform shapes. This method does not rest on any constraints or assumptions regarding signal content and could be leveraged in any area of time series analysis dealing with signals containing features at many time scales. IEEE","Accuracy; Biomedical; Computer architecture; Efficiency; Feature extraction; Shallow NN; Signal processing; Signal processing algorithms; Time-frequency analysis; Transforms; Wavelet","Deep neural networks; Discrete wavelet transforms; Image segmentation; Steganography; Time series; Accuracy; Biomedical; Features extraction; Shallow NN; Signal processing algorithms; Signal-processing; Time-frequency Analysis; Time-scales; Time-series data; Wavelet; Convolutional neural networks","","","Institute of Electrical and Electronics Engineers Inc.",""
"Vizcaíno J.P.; Symvoulidis P.; Wang Z.; Jelten J.; Favaro P.; Boyden E.S.; Lasser T.","Vizcaíno, Josué Page (57192061239); Symvoulidis, Panagiotis (55612044100); Wang, Zeguan (57196421027); Jelten, Jonas (57204971095); Favaro, Paolo (57207500120); Boyden, Edward S. (35291447700); Lasser, Tobias (23467408900)","57192061239; 55612044100; 57196421027; 57204971095; 57207500120; 35291447700; 23467408900","Fast light-field 3D microscopy with out-of-distribution detection and adaptation through conditional normalizing flows","2024","15","2","","1219","1232","13","10.1364/BOE.504039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184517464&doi=10.1364%2fBOE.504039&partnerID=40&md5=de3078611159bf7e6452e2681cf98680","Real-time 3D fluorescence microscopy is crucial for the spatiotemporal analysis of live organisms, such as neural activity monitoring. The eXtended field-of-view light field microscope (XLFM), also known as Fourier light field microscope, is a straightforward, single snapshot solution to achieve this. The XLFM acquires spatial-angular information in a single camera exposure. In a subsequent step, a 3D volume can be algorithmically reconstructed, making it exceptionally well-suited for real-time 3D acquisition and potential analysis. Unfortunately, traditional reconstruction methods (like deconvolution) require lengthy processing times (0.0220 Hz), hampering the speed advantages of the XLFM. Neural network architectures can overcome the speed constraints but do not automatically provide a way to certify the realism of their reconstructions, which is essential in the biomedical realm. To address these shortcomings, this work proposes a novel architecture to perform fast 3D reconstructions of live immobilized zebrafish neural activity based on a conditional normalizing flow. It reconstructs volumes at 8 Hz spanning 512x512x96 voxels, and it can be trained in under two hours due to the small dataset requirements (50 image-volume pairs). Furthermore, normalizing flows provides a way to compute the exact likelihood of a sample. This allows us to certify whether the predicted output is in- or ood, and retrain the system when a novel sample is detected. We evaluate the proposed method on a cross-validation approach involving multiple in-distribution samples (genetically identical zebrafish) and various out-of-distribution ones. © 2024 Optica Publishing Group under the terms of the Optica Open Access Publishing Agreement.","","Brain; Fluorescence microscopy; Image reconstruction; Network architecture; Neural networks; Repair; 3-D microscopy; 3d fluorescence microscopies; Activity monitoring; Extended field of views; Fast-light; Light fields; Neural activity; Real- time; Spatiotemporal analysis; Zebrafish; Article; artificial neural network; convolutional neural network; cross validation; deconvolution; deep learning; fluorescence microscopy; Fourier analysis; image analysis; image quality; image segmentation; larva; learning algorithm; machine learning; melanophore; nerve cell network; nonhuman; quality control; refraction index; signal noise ratio; spatiotemporal analysis; three dimensional microscopy; visual field; zebra fish; Neurons","National Science Foundation, NSF, (1848029); National Science Foundation, NSF; National Institutes of Health, NIH, (1R01DA045549, 1R01MH123977, R01DA029639, R01MH122971, RF1NS113287); National Institutes of Health, NIH; University of Bern, UB; Deutsche Forschungsgemeinschaft, DFG, (LA 3264/2-1); Deutsche Forschungsgemeinschaft, DFG; Bundesministerium für Gesundheit, BMG, (2520DAT920); Bundesministerium für Gesundheit, BMG","","Optica Publishing Group (formerly OSA)",""
